,id,title,content,category
12,7335484,Vesta Lugg y Pablo Galdames publican primera foto juntos tras confirmar su relación,"Vesta Lugg y Pablo Galdames publican primera foto juntos tras confirmar su relación. Hace poco más de dos semanas Vesta Lugg (25 años) y el futbolista Pablo Galdames (23) confirmaron que estaban en una relación, demostrando así que los rumores de hace algún tiempo eran ciertos. Ya conocido el pololeo, ahora la pareja compartió por primera vez una foto juntos y el encargado de hacerlo fue el seleccionado chileno a través de su Instagram (@pablitogaldames). ""Viendo al más grande de colonias!"", escribió el deportista junto a una foto donde aparecen ambos y la mascota de Galdames, pero además los dos aparecen con polerones del equipo Unión Española, club que lo vio nacer y donde jugó hasta 2018.  Desde julio pasado que los usuarios sospechaban de una relación entre la exactriz de BKN y el volante de Vélez Sarsfield de Argentina, ya que ambos se dejaban coquetos mensajes en Instagram. La confirmación vino en octubre pasado, en un comentario de una publicación de la también cantante chileno-canadiense, en el cual aparecía en lencería y donde Galdames le dejó un coqueto mensaje señalándole ""exquisita"". Frente a esto, un seguidor de la cantante le respondió el comentario escribiéndole ""Chaaa cumpita (sic.)"", frente a lo cual él le replicó ""es mía, no sabías? (sic.)"". Este último mensaje desató una serie de críticas de los seguidores de Lugg, en donde le expusieron que las personas no son propiedad de otras al estar en una relación amorosa. Tras la batahola que se armó en la caja de comentarios, la misma Vesta aclaró la situación.  ""Pablo es mi pololo y sus comentarios son muy queridos por mi y tenemos una relación sana y bella y me encanta compartir esas buenas energías con el mundo"", declaró la cantante, echando por tierra que este tipo de mensajes le molesten.",6-Cultura_y_Artes
17,7338080,"Rocío Toscano sorprende con disfraz ""no apto para sensibles""","Rocío Toscano sorprende con disfraz ""no apto para sensibles"". La actriz Rocío Toscano (26 años) sorprendió a sus seguidores de Instagram (@rociotoscanoactriz) con un tenebroso disfraz inspirado en su embarazo durante la última celebración de Halloween. Fue el pasado 8 de octubre que la artista, utilizando sus redes sociales, anunció a todos sus seguidores que se encontraba embarazada de mellizos. Posteando una foto en donde aparece sentada en la cima del mirador de Los Cóndores, en el Cajón Del Maipo, Toscano complementó su publicación señalando: ""Mamita doble outdoor #masfelizimposible"". La recordada ""Roxy"" de Verdades Ocultas publicó una fotografía utlizando un sangriento disfraz, ya que pintó su panza con pintura roja, y del estómago pareciera que sobresalen piernas y brazos de bebé. ""Se nos están escapando los cabros chicos, hace años que no me disfrazaba!! Qué lo pasen bien los que hagan algo"", escribió en la descripción del post que impactó a sus más de 832 mil seguidores. La imagen acumula miles de likes y cientos de comentarios. ""Trolleando a la guagua antes de nacer"", ""Genial el disfraz"" y ""El mejor disfraz que he visto hasta el momento"", fueron algunos de los comentarios que se leen en el post. Por contrapartida, algunos usuarios demostraron su descontento con la temática del disfraz. “No me gustó esta broma“, escribió una persona, a quien Rocío le respondió: “No apta para sensibles“. En una entrevista concedida luego de comunicar la noticia, Rocío indicó que desde niña siempre soñó con gestar un embarazo doble. ""Cuando era chica y vivía en Osorno jugaba con unos vecinos mellizos y encontraba tan bonito que hayan nacido juntos y los vistieran parecido. Así que lo decreté y el universo me concedió el deseo"", reveló en dicha oportunidad. Toscano también aprovechó de revelar el género de sus mellizos, mencionando que está esperando una niña y un niño que ya alcanzan los 13 centímetros de longitud, a cuatro meses de iniciado el embarazo.  Más noticias de famosos",6-Cultura_y_Artes
33,7330886,Anuel AA revela las verdaderas razones por las que se retira de la música,"Anuel AA revela las verdaderas razones por las que se retira de la música. “De la soledad me enamoré, me contagié”, es parte del nuevo single de Anuel AA, quien hace semanas anunció que se retiraría de la música, tras su presentación en los Grammy Latinos. Finalmente el día llegó y ahora el puertorriqueño dice “adiós” a sus miles de fanáticos, con un nuevo single en el que revela las verdaderas razones por las que tomó esta importante decisión. “Mi hijo no quiere que cante, quiere que yo esté con él, por eso pienso en retirarme, porque el que más sufre es él. A veces saca los juguetes y me dice ‘hola’. Me duele que otro hombre me lo esté criando, en las redes hablan y los fanáticos esperando. Me dice ‘papi no te vayas otra vez llorando’, me dice ‘tú amas más a los fanáticos que a mí, siempre me dices que es la última vez y me quedo esperando”, es parte de la letra de esta canción -un remix del recordado tema de Eminem “Stan”- que publicó en su cuenta de Instagram, que ya cuenta con más de 8 millones de reacciones. “Yo no quiero ni cantar, me quiero retirar, recuerdo el principio, pero este es el final. Antes soñaba con tener mi casa frente al mar, pero antes estaba más feliz en la federal”, continúa diciendo en la canción, refiriéndose a la cárcel en la que tuvo que pagar una pena judicial por porte ilegal de armas de fuego. View this post on InstagramA post shared by “REAL HASTA LA MUERTE” (@anuel) A post shared by “REAL HASTA LA MUERTE” (@anuel) Desde hace semanas, Anuel ha estado alejado de las redes sociales, de hecho, hasta eliminó a todos los seguidores que tenía en su red social, incluyendo a Karol G de quien se presume se separó cuando ella viajó a Colombia, durante la pandemia. A pesar de que los rumores no se han confirmado, los fanáticos se han centrado más en la despedida del intérprete de “China”, que ha dejado en evidencia que está atravesando un duro momento personal. “No, tu música es vida”, “Vuelveeeee tus fans te aclamamos”, “Lloré todo el video”, “Ya va a pasar la tormenta rey”, “El mejor del género te amo papiiii”, “Anuel busca la felicidad con Dios sigue adelante no te puedes retirar”, han sido algunos de los mensajes que dejaron sus seguidores en la plataforma digital, dejando claro que lo echarán mucho de menos.  Más noticias sobre Anuel AA  Más noticias de famosos",6-Cultura_y_Artes
42,7352927,"""Como si fuera la primera vez"": Drew Barrymore y Adam Sandler se reúnen en moderna versión","""Como si fuera la primera vez"": Drew Barrymore y Adam Sandler se reúnen en moderna versión. Emoción causó en los fanáticos de la película ""Como si fuera la primera vez"" la reunión virtual que llevaron a cabo Drew Barrymore y Adam Sandler, quienes protagonizan la romántica historia estrenada en 2004. El encuentro se dio en el contexto del nuevo programa de entrevistas de la actriz y en el adelanto se ve a Lucy (Barrymore) despertando y viendo un video de su esposo, Henry (Sandler), explicando su vida juntos desde que tiene amnesia recurrente diaria. Sin embargo, el nuevo video está actualizado para el 2020, 16 años después de su estreno y en medio de la pandemia del coronavirus por lo que Henry explica que ahora se juega béisbol frente a recortes de cartón de personas, qué es Netflix y por qué todos están con mascarillas. ""Como si fuera la primera vez"" fue un éxito tras su estreno en 2004 y se convirtió en una de las cintas favoritas de los fanáticos de las historias románticas.  El video termina con Sandler deseando a Barrymore lo mejor en su nuevo programa y la actriz diciendo que no podría comenzar sin que él sea parte del momento. The Drew Barrymore Show se estrena el lunes 14 de septiembre a través de CBS y contará con invitados de lujo como Reese Witherspoon, Jane Fonda, Charlize Theron y Tyra Banks, entre otros.",6-Cultura_y_Artes
45,7320830,A 12 años del último concierto de RBD: así lucen sus integrantes en su reencuentro,"A 12 años del último concierto de RBD: así lucen sus integrantes en su reencuentro. Los fanáticos del grupo mexicano RBD deliraron con su reencuentro, realizado de forma virtual y que les permitió disfrutar de sus éxitos. Hace 12 años fue la última presentación de la popular banda, que se hizo famosa por su teleserie.  Anahí, Christopher Uckermann, Christian Chávez y Maite Perroni fueron los cuatro de los seis integrantes de la agrupación que protagonizaron el espectáculo denominado ""Ser o parecer"". View this post on InstagramA post shared by Christian Chávez (@christianchavezreal) A post shared by Christian Chávez (@christianchavezreal) Debido a la pandemia, el show fue diferente a los que habían identificado a la agrupación durante poco más de 16 años. Aparecieron músicos con tapabocas y los seguidores pudieron observar diferentes fondos que simulaban naves espaciales, estrellas y planetas.  Los seguidores de la banda no tardaron en compartir por las redes sociales los instantes más impactantes del concierto. ""Los amo""; ""¡Qué mejor forma de comenzar esta última semana del año con este regalo!""; ""¡Qué bonito fue y será por siempre #RBD!"", fueron algunos de los mensajes de los fans.  Los artistas, que originalmente se unieron como RBD en su participación en la telenovela Rebelde (2004), hicieron varios cambios de ropa durante el concierto y se mostraron muy emocionados. View this post on InstagramA post shared by RBD (@rbd_musica) A post shared by RBD (@rbd_musica) Uno de los temas musicales más solicitados fue el himno de la agrupación ""Rebelde"". Vestidos con trajes rojos y con toda una puesta en escena virtual, que hizo rememorar sus conciertos en los que llegaron a reunir hasta a 500 mil personas, como ocurrió en Brasil en 2008. Ameeeeee♥️ no puedo dejar de ver!!!! Aunque falto dul y poncho... me encanto... Que tiempos!♥️♥️♥️♥️? #SerOParecer2020 pic.twitter.com/RQdT8S0JT9— Cristy ruiz (@criistyruiz) December 28, 2020 Ameeeeee♥️ no puedo dejar de ver!!!! Aunque falto dul y poncho... me encanto... Que tiempos!♥️♥️♥️♥️? #SerOParecer2020 pic.twitter.com/RQdT8S0JT9 Ese mismo año se despidieron de los escenarios musicales en un show realizado en España el 21 de diciembre. La venta de las entradas al concierto virtual de 2020 rompió récord en las primeras 48 horas. Los fans lamentaron la ausencia de los cantantes Alfonso Herrera (Poncho) y Dulce María, quienes se ausentaron por situaciones personales y fueron homenajeados en el show. el homenaje de los xiks a dulce y poncho a quE LLORO #SerOParecer2020pic.twitter.com/CRLB6LGojO— ✄ (@monsterislegend) December 27, 2020 el homenaje de los xiks a dulce y poncho a quE LLORO #SerOParecer2020pic.twitter.com/CRLB6LGojO Todo sobre Famosos",6-Cultura_y_Artes
53,6505930,Merck Mercuriadis: quién es el enigmático ejecutivo que se está adueñando de nuestras canciones favoritas,"Merck Mercuriadis: quién es el enigmático ejecutivo que se está adueñando de nuestras canciones favoritas. Algo grande está pasando en la industria de la música. Y al parecer sólo unos pocos parecen entender de qué se trata realmente. La clave puede encontrarse en la unión de una serie de noticias sueltas que han aparecido en el último mes, con diversos famosos involucrados y un hasta hace poco desconocido personaje como gran ganador de la ecuación. Primero fue Bob Dylan, quien vendió todo su catálogo de canciones -que abarca más de 600 temas compuestos durante 60 años- a Universal Music Publishing Group, el ala editorial del sello multinacional de mismo nombre. Un acuerdo que se catalogó de histórico y cuyos términos financieros, según The New York Times, se acercan a los US$ 300 millones. Al viejo Robert Zimmerman le siguieron otras figuras de la música popular que en los últimos días han anunciado ventas millonarias de su catálogo. O de un porcentaje de éste. Entre ellos, Neil Young; Lindsey Buckingham, el histórico ex guitarrista y cantante de Fleetwood Mac; el productor y fundador de Interscope Records, Jimmy Iovine y, esta semana, fue el turno de la colombiana Shakira. Todos cerraron contratos con la misma compañía: Hipgnosis Song Fund, una hasta hace poco desconocida firma fundada en 2018 y con base en Inglaterra, que está invirtiendo millones en el negocio editorial para hacerse de los derechos comerciales de algunas de las canciones más famosas de las últimas décadas. Una “mina de oro secreta”, como catalogó el diario El País a este creciente nicho del mercado musical, que tiene como protagonista en las sombras al fundador y CEO de Hipgnosis, el ejecutivo canadiense-estadounidense Merck Mercuriadis. “El hombre que está apostando 1.700 millones de dólares por los derechos de tus canciones favoritas”, dijo el mismo The New York Times en un perfil que hizo a Mercuriadis en diciembre. Una cifra que, un mes después, ya quedó corta. Nacido en Quebec en 1963, Mercuriadis parece no sólo tener las espaldas financieras para costear su millonaria aventura en el mundo del “publishing” (como se conoce en inglés al negocio encargado de administrar el uso comercial de las canciones), sino también la credibilidad y el respeto de los propios artistas. Tras desempeñarse como director de marketing de Virgin Records en su natal Canadá en los años 80, trabajó 20 años en la expansión mundial en la compañía de management Sanctuary Music y llegó a ser representante y productor de artistas como Beyoncé, Elton John y Guns N’ Roses. “Estoy muy feliz de asociarme con esta compañía dirigida por Merck, que realmente valora a los artistas y sus creaciones y es un aliado para los compositores de canciones de todo el mundo”, dijo Shakira en un comunicado esta semana, al anunciar un contrato con Hipgnosis en el que cedió el 100% de los derechos de sus 145 canciones publicadas a la fecha. Cuando los fans de Neil Young se espantaron con la posibilidad de que los clásicos del canadiense llegaran a convertirse en jingles para cadenas de comida rápida, Mercuriadis salió al paso de las conjeturas y en una serie de tuiteos aseguró que “con Neil compartimos la misma integridad, ethos y pasión por estas importantes canciones”. A esto se suma la participación como co-fundador de Hipgnosis de Nile Rodgers, el legendario bajista de Chic y David Bowie, a quien Mercuriadis también representó alguna vez y con quien habrían ideado la idea de fundar la compañía. La presencia de Rodgers como una suerte de “rostro corporativo” también ha incidido en a la hora de expandir el portafolio de la firma, que según la prensa estadounidense alcanzó este enero el control -total o parcial- de los derechos de nada menos que 57 mil canciones de figuras tan diversas como Barry Manilow, 50 Cent y Skrillex. Más allá de su pasión por la música, Mercuriadis da la impresión que conoce perfectamente el potencial de su inversión. Y como si se trata de una especie de Rockefeller de la era de Spotify, el ejecutivo declaró en 2019 a Thought Economics: “Siempre he creído que las canciones exitosas y la música, el arte en general, tienen un valor real. Lo que la gente realmente no reconoce es que cuando una canción se convierte en un éxito probado, el patrón de ganancias se vuelve muy predecible y confiable, y por lo tanto se puede invertir, y estas canciones son tan valiosas como el oro o el petróleo”. ¿Qué hay detrás de este lucrativo y algo nebuloso negocio - al menos para el común de los mortales- que ha multiplicado la venta de catálogos históricos de la música en el último mes? ¿Qué gana Mercuriadis y los artistas que venden su más preciado tesoro? Las respuestas son múltiples y han propiciado diversos análisis y artículos explicativos por parte de la prensa musical y financiera del Hemisferio Norte. Por el lado de los creadores, la explicación que más se repite tiene que ver con un tema de de edad: al borde de los 80 años, figuras como Bob Dylan y Neil Young han encontrado en el apetito de Mercuriadis la oportunidad perfecta para asegurar su futuro, el de sus hijos y probablemente el de sus nietos. Dicho de otro modo, al encontrarse en el otoño de sus carreras, estas leyendas musicales hacen caja y se embolsan cientos de millones de dólares por un catálogo que seguirá explotando a largo plazo una firma externa. El timing también juega a favor de Hipgnosis, que entra al ruedo en un momento donde el repertorio clásico -sobre todo del rock- vive un revival en la publicidad y el cine, mientras la gran tajada del negocio musical en la era de Spotify, Youtube y ahora TikTok se la llevan los derechos de autor y de edición (publishing), administrados por compañías y fondos de inversión que ganan por cada uso y reproducción de alguna de las canciones que controlan. “En una industria donde las ventas de discos han dejado de ser el gran soporte económico de discográficas y artistas, los derechos de edición y publicación llevan ya años siendo los mayores generadores de regalías en el negocio”, dijo El País cuando se anunció la venta de la música de Dylan. “La industria musical ya no se trata del artista y el sello, se trata de la canción”, aseguró la directora ejecutiva de Music Publishers Canada (MPC), Margaret McGuffin, consultada por CBC News por la venta de la música de su compatriota Neil Young y otros clásicos. La creciente masificación de los sampleos -el uso de fragmentos de temas ajenos en composiciones originales- en la música pop y el sostenido endurecimiento de las leyes de propiedad intelectual y copyright en todo el mundo no hacen más que multiplicar el valor del repertorio clásico. Y a todo lo anterior se suma un factor que alteró aún más el negocio: la pandemia del coronavirus y la paralización indefinida de la actividad en vivo, que ha hecho que diversos artistas del mundo se hayan enfocado en sus derechos de autor y la explotación comercial de su obra como principal fuente de ingresos. Diversos expertos que han sido consultados por este fenómeno agregan otro elemento a la ecuación: la inminente llegada a la Casa Blanca de Joe Biden, quien, dentro de su programa de gobierno, incluyó un alza de los impuestos para aquellos ciudadanos o residentes que tengan ingresos anuales superiores a los 400 mil dólares. Un grupo selecto donde ciertamente entran las estrellas del rock y el pop. La recomendación de los asesores financieros de los grandes artistas hoy es vender, así que se espera que la ola de contratos millonarios continúe. Toda una paradoja si se considera que fueron los propios artistas, en su mayoría, quienes durante el último tiempo impulsaron la candidatura del demócrata y el fin de la era Trump en la casa de gobierno estadounidense. A río revuelto, ganancia de pescadores. Y Mercuriadis, quien parece tener claro dónde desembocará esto, quiere ir por todo. “Me encantaría ser dueño de los Beatles”, aseguró en una entrevista publicada ayer por el diario británico The Telegraph. Los comentarios en esta sección son exclusivos para suscriptores. Suscríbase aquí.",6-Cultura_y_Artes
57,7308254,Miley Cyrus será parte del Super Bowl 2021 con especial homenaje al personal de salud,"Miley Cyrus será parte del Super Bowl 2021 con especial homenaje al personal de salud. Será el próximo domingo 7 de febrero cuando se realice el Super Bowl 2021 en Tampa, Florida (Estados Unidos) el cual será de forma diferente debido a la pandemia del coronavirus. Ya se sabía que The Weeknd será quien dé el codiciado show de mediotiempo, el que promete ser trascendental, y ahora se conoció que otra estrella de la música también será parte de un evento especial que se hará en la previa. Miley Cyrus será la estrella de la fiesta titulada TikTok Tailgate del Super Bowl, según confirmó la NFL. La cantante estará en el escenario actuando para 7.500 trabajadores de salud que fueron invitados a asistir. .@mileycyrus will be at Super Bowl LV to perform at the first-ever #TikTokTailgate – the NFL’s pregame event for the 7,500 vaccinated health care heroes who have been invited to attend #SBLVJoin the tailgate FEB 7 at 2:30 PM ET on @tiktok_us & @CBS! pic.twitter.com/oMkQnnwBEM— NFL (@NFL) January 24, 2021 .@mileycyrus will be at Super Bowl LV to perform at the first-ever #TikTokTailgate – the NFL’s pregame event for the 7,500 vaccinated health care heroes who have been invited to attend #SBLVJoin the tailgate FEB 7 at 2:30 PM ET on @tiktok_us & @CBS! pic.twitter.com/oMkQnnwBEM Te puede interesarEllos son los hijos de Marc Anthony que gozan de menos fama que sus hermanos Emme y Max “No puedo esperar a presentar mi show para los invitados de honor de la NFL antes del juego... trabajadores de la salud de Tampa y alrededores”, escribió Cyrus en una publicación de Instagram. View this post on InstagramA post shared by Miley Cyrus (@mileycyrus) A post shared by Miley Cyrus (@mileycyrus) El homenaje al personal de salud será transmitido a través de TikTok y CBS, y posiblemente cuente con las canciones del reciente álbum estrenado por Cyrus. En tanto, la liga confirmó hace unos días que permitiría el acceso de 22.000 personas al juego. De esta manera, The Weeknd y Miley Cyrus llegarán a ocupar el lugar que este 2020 vio brillar a Jennifer Lopez y Shakira, que fueron las encargadas del show en el entretiempo de la 54 edición con una impactante presentación que además incluyó a Bad Bunny y J Balvin, siendo la primera vez en que una estrella latina encabezaba el famoso espectáculo.  Todo sobre Famosos Todo sobre Super Bowl Todo sobre Miley Cyrus",6-Cultura_y_Artes
60,1386533,"La genial idea de una pareja británica para ""salvar"" su boda sin invitados por la pandemia","La genial idea de una pareja británica para ""salvar"" su boda sin invitados por la pandemia. La pandemia de covid-19 ha obligado a suspender importantes eventos. Para Romanee y Sam Rondeau-Smith, oriundos de Bramley, Inglaterra, no fue la excepción. La pareja contrajo matrimonio en medio de las restricciones de aglomeraciones, lo que les prohibía tener muchos invitados en el día más importante de sus vidas. No obstante, una genial idea salvó la celebración. La norma inglesa indica que, por el momento, no se pueden reunir más de 30 personas en un lugar cerrado. Esto se explica porque en la nación llevan un total cercano a los 348 mil casos detectados y más de 40 mil muertos. Para la pareja, que debía casarse en julio pasado pero pospuso la unión por la crisis sanitaria, esta nueva limitación era un problema. Ellos querían celebrar a lo grande, con más de 100 invitados, pero evidentemente no pudieron. La celebración se llevó a cabo de igual manera el pasado 14 de agosto y las fotografías salieron a la luz hace pocos días. Romanee y Sam, ahora felizmente casados, gastaron cerca de dos mil libras esterlinas (casi dos millones de pesos chilenos) en recrear, con cartones impresos en tamaño real, a los invitados que no pudieron viajar o que, derechamente, no pudieron asistir debido a las restricciones. “Teníamos alrededor de 100 personas en nuestra lista de invitados, pero cuando llegó el coronavirus, tuvimos que reelaborar nuestros planes y el lugar (donde se realizó y produjo la boda) fue realmente flexible”, contó la mujer al portal británico Mirror. La ceremonia se realizó en The Bell en Ticehurst, al este de Sussex, tras haberse comprometido en diciembre del año pasado. “Al final del día sólo queríamos casarnos, así que seguimos adelante”, añadió. Romanee contó que la idea comenzó cuando notaron que una de sus damas de honor vive en Nashville, Estados Unidos, por lo que no podría participar en la ceremonia. “Bromeamos sobre tenerla como un recorte de cartón, así que pensamos ‘¿por qué no hacemos eso con nuestros invitados?’“, dijo. Tras eso, se dedicaron a conseguir fotografías de todos los que originalmente asistirían y “a la organizadora de la boda le encantó la idea, le pareció gracioso”, sostuvo. Incluso, agregó que el costo de las imágenes fue similar a tenerlos en la boda, aunque “ahorraron en alcohol”. Finalmente, la boda se realizó con sólo 14 invitados presenciales. El total de “asistentes” fue de 50, contando los trozos de cartón, por lo que no infringieron la norma. “Estoy segura de que habrá una fiesta masiva en algún momento, solo en algún lugar discreto (…) Fue perfecto. Fue realmente relajado. No nos decepcionó en absoluto. La simpleza y tener a nuestra familia más cercana en el lugar fue perfecto”, cerró la novia.",6-Cultura_y_Artes
66,7324128,Camilo Echeverry sorprende con sensual baile al ritmo de la bachata: Fans lo aplaudieron,"Camilo Echeverry sorprende con sensual baile al ritmo de la bachata: Fans lo aplaudieron. Al ritmo de la bachata, el cantante y compositor colombiano Camilo Echeverry sorprende a sus seguidores haciendo el #ChallengeBebé. Con pasos previamente estudiados, el joven de 26 años de edad deja claro que sus clases de baile han mejorado notoriamente. “Este mensaje es para el Camilo que decía que no sabía bailar: Trágate tus palabras jajaja”, escribió junto al video que ya cuenta con más de 500 mil reproducciones. “Siempre supiste, sólo te hacías el que no”, “Ya aprendiste a bailar y te tocaba, ya que tu esposa baila muy bien”, “Camilo es el mejor bailarín que he visto”, “Juro que amo verte bailar”, fueron algunos de los comentarios que dejaron sus seguidores en el video, donde muestra sus dotes de bailarín. View this post on InstagramA post shared by C A M I L O (@camilo) A post shared by C A M I L O (@camilo) Esta no es la primera vez que el colombiano sorprende a sus seguidores bailando alguno de sus challenge y es que, cada vez que estrena algún single, su esposa Evaluna Montaner (23) y su mejor amiga Paula Macher, crean una pequeña coreografía que suele ser repicada por “La Tribu” -como Camilo llama a sus fanáticos-. View this post on InstagramA post shared by Paula Macher (@paumacher) A post shared by Paula Macher (@paumacher) A pesar de que el 2020 ha sido un año complejo a nivel mundial por la llegada de la pandemia del coronavirus, para Camilo ha sido uno importante que marca un antes y un después no solo en su vida personal sino también, en su carrera profesional. En febrero de este año contrajo matrimonio con la hija de Ricardo Montaner y, desde entonces, sus temas dedicados al amor lo han lanzado al estrellato. Su éxito ha sido tal que, recientemente recibió su primer Grammy Latino por su tema “Tutu”. View this post on InstagramA post shared by C A M I L O (@camilo) A post shared by C A M I L O (@camilo) Pero no solo el lanzamiento de su primer disco profesional, el estreno de sus videos y su relación con Evaluna han marcado el 2020 del colombiano y es que, a poco menos de tres semanas de que se acabe el año, VEVO anunció que tres de sus clips fueron los “más vistos” del año. “Uno de ellos con Evaluna, “Por Primera Vez”, y los tres videos, “Vida de Rico”, “Favorito”, y “Por Primera Vez”, fueron dirigidos por mi esposa. Quiero decirle que la amo, Evaluna te honro por estas tres canciones que te escribí a ti. Delante de todo el mundo, quiero decirte que tú eres la razón por la que yo estoy acá. Bueno, a ver, Dios es la razón por la que estoy donde estoy, pero tú eres el foco de la inspiración que Dios me da”, dijo en sus stories de Instagram, reaccionando a los logros que ha tenido por su trabajo.  Todo sobre Camilo Echeverry Evaluna Montaner Todo sobre Famosos",6-Cultura_y_Artes
69,1384709,Joven dejó al descubierto a un hombre infiel en una joyería: compró anillos para su esposa y amante,"Joven dejó al descubierto a un hombre infiel en una joyería: compró anillos para su esposa y amante. Una ‘tiktoker’ estadounidense llamada Zoe Roe se volvió viral en los últimos por un detallado relato, expuesto en aquella red social, sobre cómo dejó en evidencia la infidelidad de un hombre, luego que él fuera a comprar anillos en la joyería donde trabajaba. Roe, de 22 años, explicó que el hecho ocurrió a comienzos de octubre y el sujeto tenía cerca de 45 años. “Entonces, trabajo en una tienda de joyería y hoy un hombre entró buscando un regalo para su esposa por su aniversario de 10 años”, comenzó diciendo en el video que tiene más de siete millones de reproducciones. Según detalló The Sun, la situación continuó segundos después, cuando pidió realizar otra compra con una tarjeta de crédito distinta. “Él terminó escogiendo una pieza que decía ‘Mi hermosa esposa’ y dije: ‘¿Algo más para usted hoy?’; y él dijo: ‘No eso es todo para ella, pero quiero hacer otra compra usando una tarjeta de crédito separada ¿Y podrías crear una cuenta diferente para mí?’”, contó.",6-Cultura_y_Artes
